FiscalQuarterYear,FiscalMonthYear,CalMonth,TxnDate,Sub_Theater,Region,ProductGroup,ProductLineCode,ORDER_TYPE,Booking_Quantity,Bookings,TOT_LIST_PR_USD_AM
2019 Q1,2019 2,Dec,12/17/2019,EMEA,CEEMA,DCS,1U,SH,20,38481.94,90352.47
2019 Q1,2019 2,Dec,12-05-2019,EMEA,CEEMA,DCS,1U,ZCR,-1,-401.13,-401.13
2019 Q1,2019 2,Dec,12/31/2019,EMEA,CEEMA,DCS,1U,ZOR,1,1164.71,3191
2019 Q1,2019 2,Dec,12/25/2019,EMEA,Cross Geo (Philip),DCS,1U,SH,1,1139.47,2848.67
2019 Q1,2019 2,Dec,12-09-2019,EMEA,DACH&Russia,DCS,1U,SH,73,106054.11,248646.94
2019 Q1,2019 2,Dec,12-04-2019,EMEA,DACH&Russia,DCS,1U,ZOR,1,1405.07,3191.01
2019 Q1,2019 2,Dec,12/18/2019,EMEA,France,DCS,1U,SH,18,18716.6,49956.96
2019 Q1,2019 2,Dec,12/30/2019,EMEA,France,DCS,1U,ZOR,3,3683.58,17198.5
2019 Q1,2019 2,Dec,12/26/2019,EMEA,France,DCS,1U,ZRE,-3,-4856.42,-11293.99
2019 Q1,2019 2,Dec,12-07-2019,EMEA,NOE,DCS,1U,SH,23,40987.86,81216.43
2019 Q1,2019 2,Dec,12-06-2019,EMEA,NOE,DCS,1U,ZOR,1,1237.07,3389.25
2019 Q1,2019 2,Dec,12-11-2019,EMEA,SOE,DCS,1U,SH,26,36034.12,77153.49
2019 Q1,2019 2,Dec,12-03-2019,EMEA,UK&I,DCS,1U,SH,6,10155.56,21010.04
2019 Q1,2019 2,Dec,12-09-2019,EMEA,CEEMA,DCS,FA,SH,4,20774.74,77009.26
2019 Q1,2019 2,Dec,12/28/2019,EMEA,DACH&Russia,DCS,FA,SH,5,28770.98,101801.2
2019 Q1,2019 2,Dec,12/21/2019,EMEA,SOE,DCS,FA,SH,5,15741.43,103268.4
2019 Q1,2019 2,Dec,12-05-2019,EMEA,UK&I,DCS,FA,SH,4,23120.68,105093.92
2019 Q1,2019 2,Dec,12-06-2019,EMEA,CEEMA,DCS,I6,ZOR,1,6611.6,43504.22
2019 Q1,2019 2,Dec,12-04-2019,EMEA,DACH&Russia,DCS,I6,SH,17,266601.86,543071.82
2019 Q1,2019 2,Dec,12/22/2019,EMEA,DACH&Russia,DCS,I6,ZOR,1,13782.5,123102.78
2019 Q1,2019 2,Dec,12/30/2019,EMEA,France,DCS,I6,SH,1,14670.24,23661.68
2019 Q1,2019 2,Dec,12/19/2019,EMEA,France,DCS,I6,ZOR,0,0,0
2019 Q1,2019 2,Dec,12/29/2019,EMEA,SOE,DCS,I6,ZOR,4,29830.43,170265
2019 Q1,2019 2,Dec,12/26/2019,EMEA,UK&I,DCS,I6,SH,1,4419.03,16391.05
2019 Q1,2019 2,Dec,12/21/2019,EMEA,UK&I,DCS,I6,ZOR,0,0,0
2019 Q1,2019 2,Dec,12-04-2019,EMEA,CEEMA,DCS,L1,ZOR,28,29841.08,76377.59
2019 Q1,2019 2,Dec,12/24/2019,EMEA,DACH&Russia,DCS,L1,SH,304,30991.14,92946.4
2019 Q1,2019 2,Dec,12-07-2019,EMEA,DACH&Russia,DCS,L1,ZOR,0,0,0
2019 Q1,2019 2,Dec,12/22/2019,EMEA,DACH&Russia,DCS,L1,ZRE,-2,-4062.64,-15837
2019 Q1,2019 2,Dec,12/22/2019,EMEA,France,DCS,L1,SH,1,17948.55,28949.28
2019 Q1,2019 2,Dec,12-05-2019,EMEA,NOE,DCS,L1,ZOR,304,153683.53,306942.77
2019 Q1,2019 2,Dec,12-10-2019,EMEA,France,DCS,NC,ZOR,16,67745.39,249732.52
2019 Q1,2019 2,Dec,12/16/2019,EMEA,CEEMA,DCS,NT,SH,1491,891236.52,2865276.32
2019 Q1,2019 2,Dec,12/30/2019,EMEA,CEEMA,DCS,NT,ZDR,4,232,777.7
2019 Q1,2019 2,Dec,12/24/2019,EMEA,CEEMA,DCS,NT,ZOR,377,234050.33,1800369.1
2019 Q1,2019 2,Dec,12/14/2019,EMEA,CEEMA,DCS,NT,ZRE,-2,-80.37,-940.87
2019 Q1,2019 2,Dec,12-06-2019,EMEA,Cross Geo (Philip),DCS,NT,SH,640,605430.31,2515574.74
2019 Q1,2019 2,Dec,12/26/2019,EMEA,Cross Geo (Philip),DCS,NT,ZCR,-31,-11412.56,-36303.05
2019 Q1,2019 2,Dec,12-03-2019,EMEA,Cross Geo (Philip),DCS,NT,ZDR,33,11268.68,36454.28
2019 Q1,2019 2,Dec,12/24/2019,EMEA,Cross Geo (Philip),DCS,NT,ZOR,675,343507.17,1671385.18
2019 Q1,2019 2,Dec,12/25/2019,EMEA,Cross Geo (Philip),DCS,NT,ZRE,-9,-1297.37,-5415.13
2019 Q1,2019 2,Dec,12-06-2019,EMEA,DACH&Russia,DCS,NT,SH,3437,1986728.28,8053045.18
2019 Q1,2019 2,Dec,12-01-2019,EMEA,DACH&Russia,DCS,NT,ZCR,0,0,0
2019 Q1,2019 2,Dec,12/15/2019,EMEA,DACH&Russia,DCS,NT,ZDR,43,62937.2,118983.5
2019 Q1,2019 2,Dec,12-03-2019,EMEA,DACH&Russia,DCS,NT,ZOR,783,811421.63,6895920.13
2019 Q1,2019 2,Dec,12/24/2019,EMEA,DACH&Russia,DCS,NT,ZRE,-28,-49967.15,-49967.15
2019 Q1,2019 2,Dec,12/17/2019,EMEA,France,DCS,NT,SH,1719,1143597.73,4002507.59
2019 Q1,2019 2,Dec,12-07-2019,EMEA,France,DCS,NT,ZCR,-14,-5454.22,-17638.04
2019 Q1,2019 2,Dec,12/29/2019,EMEA,France,DCS,NT,ZDR,14,5454.22,17638.04
2019 Q1,2019 2,Dec,12-02-2019,EMEA,France,DCS,NT,ZOR,818,774210.79,2351304.62
2019 Q1,2019 2,Dec,12-07-2019,EMEA,France,DCS,NT,ZRE,-2,-455.96,-1593.15
2019 Q1,2019 2,Dec,12-12-2019,EMEA,NOE,DCS,NT,SH,1704,1103901.64,4583809.75
2019 Q1,2019 2,Dec,12/13/2019,EMEA,NOE,DCS,NT,ZCR,-37,-12011.11,-66755.34
2019 Q1,2019 2,Dec,12-08-2019,EMEA,NOE,DCS,NT,ZDR,37,12011.11,66755.34
2019 Q1,2019 2,Dec,12-03-2019,EMEA,NOE,DCS,NT,ZOR,652,290600.36,1409905.54
2019 Q1,2019 2,Dec,12/13/2019,EMEA,NOE,DCS,NT,ZRE,-1,-390,-3585
2019 Q1,2019 2,Dec,12/24/2019,EMEA,SOE,DCS,NT,SH,1222,830647.4,3121583.98
2019 Q1,2019 2,Dec,12/13/2019,EMEA,SOE,DCS,NT,ZDR,19,35490,121750.35
2019 Q1,2019 2,Dec,12/31/2019,EMEA,SOE,DCS,NT,ZOR,218,104398.47,399420.09
2019 Q1,2019 2,Dec,12-03-2019,EMEA,SOE,DCS,NT,ZRE,-2,-72.88,-416
2019 Q1,2019 2,Dec,12/19/2019,EMEA,UK&I,DCS,NT,SH,876,533513.5,1867152.35
2019 Q1,2019 2,Dec,12/16/2019,EMEA,UK&I,DCS,NT,ZOR,73,30882.71,122687.56
2019 Q1,2019 2,Dec,12/13/2019,EMEA,UK&I,DCS,NT,ZRE,4,2626.38,7879.13
2019 Q1,2019 3,Jan,1/27/2020,EMEA,CEEMA,DCS,1U,SH,4,7928.68,18142
2019 Q1,2019 3,Jan,01-06-2020,EMEA,CEEMA,DCS,1U,ZOR,5,2011.28,3358.12
2019 Q1,2019 3,Jan,1/15/2020,EMEA,Cross Geo (Philip),DCS,1U,ZOR,1,746.79,1493.33
2019 Q1,2019 3,Jan,1/31/2020,EMEA,DACH&Russia,DCS,1U,SH,23,37763.67,76040.54
2019 Q1,2019 3,Jan,01-12-2020,EMEA,DACH&Russia,DCS,1U,ZOR,2,1281.38,6904
2019 Q1,2019 3,Jan,01-07-2020,EMEA,France,DCS,1U,SH,9,7923.63,21977.14
2019 Q1,2019 3,Jan,1/24/2020,EMEA,NOE,DCS,1U,SH,17,32243.44,61496.56
2019 Q1,2019 3,Jan,1/15/2020,EMEA,NOE,DCS,1U,ZOR,4,5395.59,13488.97
2019 Q1,2019 3,Jan,01-12-2020,EMEA,SOE,DCS,1U,SH,9,13364.79,34359.17
2019 Q1,2019 3,Jan,1/13/2020,EMEA,UK&I,DCS,1U,SH,-2,-59637.86,-94217.53
2019 Q1,2019 3,Jan,1/26/2020,EMEA,Cross Geo (Philip),DCS,FA,ZOR,1,2315.63,7950.66
2019 Q1,2019 3,Jan,1/17/2020,EMEA,DACH&Russia,DCS,FA,SH,8,119268.68,226631.64
2019 Q1,2019 3,Jan,01-04-2020,EMEA,NOE,DCS,FA,SH,10,50861.98,205708.88
2019 Q1,2019 3,Jan,01-08-2020,EMEA,SOE,DCS,FA,SH,7,24544.06,86313.88
2019 Q1,2019 3,Jan,1/14/2020,EMEA,UK&I,DCS,FA,SH,27,175418.19,701672.22
2019 Q1,2019 3,Jan,1/29/2020,EMEA,DACH&Russia,DCS,I6,SH,33,97517.1,492324.39
2019 Q1,2019 3,Jan,01-06-2020,EMEA,DACH&Russia,DCS,I6,ZOR,5,65539.33,201477.85
2019 Q1,2019 3,Jan,1/29/2020,EMEA,France,DCS,I6,SH,2,10216.26,47739.58
2019 Q1,2019 3,Jan,01-01-2020,EMEA,France,DCS,I6,ZCR,-27,-120274.58,-525066.53
2019 Q1,2019 3,Jan,1/30/2020,EMEA,France,DCS,I6,ZDR,27,120274.58,525066.53
2019 Q1,2019 3,Jan,1/28/2020,EMEA,France,DCS,I6,ZOR,2,52797.32,133534.69
2019 Q1,2019 3,Jan,01-01-2020,EMEA,NOE,DCS,I6,SH,4,29122.64,93944
2019 Q1,2019 3,Jan,01-03-2020,EMEA,SOE,DCS,I6,SH,90,158494.5,1219189.2
2019 Q1,2019 3,Jan,01-09-2020,EMEA,SOE,DCS,I6,ZOR,2,36773.47,140312.83
2019 Q1,2019 3,Jan,1/17/2020,EMEA,UK&I,DCS,I6,ZCR,-9,-40091.53,-175022.18
2019 Q1,2019 3,Jan,1/16/2020,EMEA,UK&I,DCS,I6,ZDR,9,40091.53,175022.18
2019 Q1,2019 3,Jan,01-11-2020,EMEA,UK&I,DCS,I6,ZOR,1,17599.11,44511.56
2019 Q1,2019 3,Jan,1/22/2020,EMEA,DACH&Russia,DCS,L1,SH,1621,287607.82,934454.92
2019 Q1,2019 3,Jan,01-11-2020,EMEA,DACH&Russia,DCS,L1,ZOR,0,0,0
2019 Q1,2019 3,Jan,01-04-2020,EMEA,France,DCS,L1,ZOR,22,4161.39,7178.71
2019 Q1,2019 3,Jan,01-12-2020,EMEA,NOE,DCS,L1,SH,84,29506.08,60241.52
2019 Q1,2019 3,Jan,01-09-2020,EMEA,NOE,DCS,L1,ZCR,-8,-16993.86,-17018.72
2019 Q1,2019 3,Jan,01-11-2020,EMEA,NOE,DCS,L1,ZDR,8,17273.26,17273.26
2019 Q1,2019 3,Jan,1/14/2020,EMEA,SOE,DCS,L1,SH,15,18937.05,43370.64
2019 Q1,2019 3,Jan,1/20/2020,EMEA,SOE,DCS,L1,ZOR,602,101093.05,331418.23
2019 Q1,2019 3,Jan,01-03-2020,EMEA,UK&I,DCS,L1,SH,6,15774.68,25443.04
2019 Q1,2019 3,Jan,1/28/2020,EMEA,NOE,DCS,NC,ZOR,3,7343.29,14686.59
2019 Q1,2019 3,Jan,1/14/2020,EMEA,CEEMA,DCS,NT,SH,1084,581275.17,2442112.71
2019 Q1,2019 3,Jan,01-06-2020,EMEA,CEEMA,DCS,NT,ZCR,-16,-31763.84,-51232
2019 Q1,2019 3,Jan,01-10-2020,EMEA,CEEMA,DCS,NT,ZCRN,12,0,0
2019 Q1,2019 3,Jan,1/29/2020,EMEA,CEEMA,DCS,NT,ZDR,8,15881.92,25616
2019 Q1,2019 3,Jan,01-03-2020,EMEA,CEEMA,DCS,NT,ZOR,369,217232.68,848724.99
2019 Q1,2019 3,Jan,01-03-2020,EMEA,Cross Geo (Philip),DCS,NT,SH,145,118000.59,300183.21
2019 Q1,2019 3,Jan,1/22/2020,EMEA,Cross Geo (Philip),DCS,NT,ZCR,-3,-540.96,-2658.26
2019 Q1,2019 3,Jan,1/23/2020,EMEA,Cross Geo (Philip),DCS,NT,ZDR,3,540.96,2658.26
2019 Q1,2019 3,Jan,1/24/2020,EMEA,Cross Geo (Philip),DCS,NT,ZOR,288,163092.31,547169.64
2019 Q1,2019 3,Jan,01-09-2020,EMEA,Cross Geo (Philip),DCS,NT,ZRE,-8,-10013.61,-21209.33
2019 Q1,2019 3,Jan,1/13/2020,EMEA,DACH&Russia,DCS,NT,SH,3088,2349298.82,6984944.78
2019 Q1,2019 3,Jan,1/16/2020,EMEA,DACH&Russia,DCS,NT,ZOR,707,468789.52,1749526.81
2019 Q1,2019 3,Jan,1/23/2020,EMEA,DACH&Russia,DCS,NT,ZRE,-5,-422.43,-3094.43
2019 Q1,2019 3,Jan,01-02-2020,EMEA,France,DCS,NT,SH,1987,1105169.35,4084367.25
2019 Q1,2019 3,Jan,1/26/2020,EMEA,France,DCS,NT,ZCR,-161,-128949.85,142776.68
2019 Q1,2019 3,Jan,01-02-2020,EMEA,France,DCS,NT,ZDR,163,129497.62,-140820.33
2019 Q1,2019 3,Jan,1/14/2020,EMEA,France,DCS,NT,ZOR,246,125212.19,477033.64
2019 Q1,2019 3,Jan,1/26/2020,EMEA,France,DCS,NT,ZRE,-19,-3498.14,-13519.32
2019 Q1,2019 3,Jan,01-07-2020,EMEA,NOE,DCS,NT,SH,1867,1001504.68,3531836.82
2019 Q1,2019 3,Jan,1/26/2020,EMEA,NOE,DCS,NT,ZCR,-37,-11892.16,-66094.23
2019 Q1,2019 3,Jan,1/15/2020,EMEA,NOE,DCS,NT,ZCRN,32,0,0
2019 Q1,2019 3,Jan,1/16/2020,EMEA,NOE,DCS,NT,ZDR,37,11892.16,66094.23
2019 Q1,2019 3,Jan,1/16/2020,EMEA,NOE,DCS,NT,ZOR,254,91347.64,332295.36
2019 Q1,2019 3,Jan,01-09-2020,EMEA,SOE,DCS,NT,SH,3404,1210826.34,7465535.92
2019 Q1,2019 3,Jan,01-07-2020,EMEA,SOE,DCS,NT,ZOR,330,187557.7,863554.37
2019 Q1,2019 3,Jan,1/16/2020,EMEA,SOE,DCS,NT,ZRE,-2,-72.88,-416
2019 Q1,2019 3,Jan,01-02-2020,EMEA,UK&I,DCS,NT,SH,1511,887531.78,3061347.44
2019 Q1,2019 3,Jan,1/28/2020,EMEA,UK&I,DCS,NT,ZCR,-53,-42807.82,48200
2019 Q1,2019 3,Jan,1/21/2020,EMEA,UK&I,DCS,NT,ZDR,53,42807.82,-48200
2019 Q1,2019 3,Jan,01-03-2020,EMEA,UK&I,DCS,NT,ZOR,157,112601.73,410125.2
2019 Q2,2019 4,Feb,2/25/2020,EMEA,CEEMA,DCS,1U,SH,20,29424.8,72500
2019 Q2,2019 4,Feb,02-08-2020,EMEA,CEEMA,DCS,1U,ZOR,1,1164.71,3191
2019 Q2,2019 4,Feb,2/18/2020,EMEA,DACH&Russia,DCS,1U,SH,26,36437.69,84730.26
2019 Q2,2019 4,Feb,2/23/2020,EMEA,France,DCS,1U,SH,0,-1007.43,-2111.55
2019 Q2,2019 4,Feb,02-10-2020,EMEA,NOE,DCS,1U,SH,1,1300.57,4335.25
2019 Q2,2019 4,Feb,2/21/2020,EMEA,NOE,DCS,1U,ZOR,14,8690.71,25803.67
2019 Q2,2019 4,Feb,02-03-2020,EMEA,SOE,DCS,1U,SH,7,8475.51,18766.34
2019 Q2,2019 4,Feb,2/22/2020,EMEA,UK&I,DCS,1U,SH,6,10235.39,20650.88
2019 Q2,2019 4,Feb,02-08-2020,EMEA,CEEMA,DCS,FA,SH,2,7361.52,24538.44
2019 Q2,2019 4,Feb,2/25/2020,EMEA,Cross Geo (Philip),DCS,FA,SH,3,16476.43,26574.85
2019 Q2,2019 4,Feb,02-09-2020,EMEA,Cross Geo (Philip),DCS,FA,ZOR,1,4631.26,15901.33
2019 Q2,2019 4,Feb,2/16/2020,EMEA,NOE,DCS,FA,SH,4,23206.04,77059.92
2019 Q2,2019 4,Feb,02-11-2020,EMEA,SOE,DCS,FA,ZOR,2,13848.02,39565.78
2019 Q2,2019 4,Feb,2/25/2020,EMEA,UK&I,DCS,FA,SH,4,11235.04,47126.88
2019 Q2,2019 4,Feb,02-11-2020,EMEA,CEEMA,DCS,I6,ZOR,6,85470.9,254939.65
2019 Q2,2019 4,Feb,02-04-2020,EMEA,DACH&Russia,DCS,I6,SH,3,24039.51,149036.04
2019 Q2,2019 4,Feb,2/27/2020,EMEA,DACH&Russia,DCS,I6,ZOR,0,0,0
2019 Q2,2019 4,Feb,2/21/2020,EMEA,France,DCS,I6,ZOR,29,186569.04,531694.93
2019 Q2,2019 4,Feb,2/25/2020,EMEA,UK&I,DCS,I6,ZOR,12,92036.6,276721.37
2019 Q2,2019 4,Feb,2/19/2020,EMEA,DACH&Russia,DCS,L1,SH,24,46331.16,151014.34
2019 Q2,2019 4,Feb,02-10-2020,EMEA,NOE,DCS,L1,SH,126,35983.9,70830.6
2019 Q2,2019 4,Feb,02-06-2020,EMEA,SOE,DCS,L1,SH,653,79513.8,349650.72
2019 Q2,2019 4,Feb,02-05-2020,EMEA,CEEMA,DCS,NC,ZRE,-88,-132553.43,-500201.23
2019 Q2,2019 4,Feb,2/23/2020,EMEA,CEEMA,DCS,NT,SH,641,257820.68,1078676.27
2019 Q2,2019 4,Feb,02-04-2020,EMEA,CEEMA,DCS,NT,ZCRN,36,0,0
2019 Q2,2019 4,Feb,2/21/2020,EMEA,CEEMA,DCS,NT,ZOR,622,211408.98,692797.03
2019 Q2,2019 4,Feb,2/25/2020,EMEA,CEEMA,DCS,NT,ZRE,-472,-118576.96,-1012900
2019 Q2,2019 4,Feb,02-05-2020,EMEA,Cross Geo (Philip),DCS,NT,SH,321,215968.19,513292.68
2019 Q2,2019 4,Feb,2/19/2020,EMEA,Cross Geo (Philip),DCS,NT,ZDR,9,5272.21,13361.74
2019 Q2,2019 4,Feb,2/17/2020,EMEA,Cross Geo (Philip),DCS,NT,ZOR,296,152254.43,479905.29
2019 Q2,2019 4,Feb,2/27/2020,EMEA,Cross Geo (Philip),DCS,NT,ZRE,-12,-4099.47,-15647.8
2019 Q2,2019 4,Feb,2/19/2020,EMEA,DACH&Russia,DCS,NT,SH,2515,1334680.69,4470604.94
2019 Q2,2019 4,Feb,2/25/2020,EMEA,DACH&Russia,DCS,NT,ZCR,-370,-454789.15,-1299397.58
2019 Q2,2019 4,Feb,2/28/2020,EMEA,DACH&Russia,DCS,NT,ZDR,370,454789.14,1299397.56
2019 Q2,2019 4,Feb,2/27/2020,EMEA,DACH&Russia,DCS,NT,ZOR,1135,628156.51,1982689.7
2019 Q2,2019 4,Feb,02-09-2020,EMEA,DACH&Russia,DCS,NT,ZRE,-84,-6851.41,-49959.14
2019 Q2,2019 4,Feb,2/23/2020,EMEA,France,DCS,NT,SH,1381,513825.22,1829343.12
2019 Q2,2019 4,Feb,2/28/2020,EMEA,France,DCS,NT,ZOR,368,395626.47,1147441.24
2019 Q2,2019 4,Feb,2/15/2020,EMEA,France,DCS,NT,ZRE,-38,-49792.09,-124442.63
2019 Q2,2019 4,Feb,02-08-2020,EMEA,NOE,DCS,NT,SH,856,459187.81,1538622.59
2019 Q2,2019 4,Feb,2/22/2020,EMEA,NOE,DCS,NT,ZCR,-2,-623.32,-623.32
2019 Q2,2019 4,Feb,02-10-2020,EMEA,NOE,DCS,NT,ZDR,5,2636.1,6680.87
2019 Q2,2019 4,Feb,2/25/2020,EMEA,NOE,DCS,NT,ZOR,157,28801.03,102971.08
2019 Q2,2019 4,Feb,2/22/2020,EMEA,NOE,DCS,NT,ZRE,-16,-18688.69,-53071.09
2019 Q2,2019 4,Feb,02-09-2020,EMEA,SOE,DCS,NT,SH,1069,445315.02,2157575.94
2019 Q2,2019 4,Feb,02-02-2020,EMEA,SOE,DCS,NT,ZDR,12,6980.32,24839.5
2019 Q2,2019 4,Feb,02-07-2020,EMEA,SOE,DCS,NT,ZOR,76,39682.22,130854.19
