date,subtheatre,region,productgroup,productlinecode,ordertype,bookingquantity,bookingamt,total_list
2019-04-22,EMEA,Cross Geo (Philip),DCS,NT,ZDR,19,"3,169.74","5,933.56"
2019-04-20,EMEA,Cross Geo (Philip),DCS,NT,ZOR,298,"1,38,202.48","5,68,230.80"
2019-04-26,EMEA,Cross Geo (Philip),DCS,NT,ZRE,-5,"-4,063.00","-24,458.00"
2019-04-12,EMEA,DACH&Russia,DCS,NT,SH,3107,"16,36,862.76","66,40,830.53"
2019-04-03,EMEA,DACH&Russia,DCS,NT,ZCR,-718,"-3,23,821.41","-20,71,558.24"
2019-04-27,EMEA,DACH&Russia,DCS,NT,ZCRN,4,0,0
2019-04-17,EMEA,DACH&Russia,DCS,NT,ZDR,718,"3,23,780.03","20,71,516.86"
2019-04-09,EMEA,DACH&Russia,DCS,NT,ZOR,2953,"12,27,526.17","51,20,586.94"
2019-04-27,EMEA,DACH&Russia,DCS,NT,ZRE,-48,"-77,082.12","-2,20,234.62"
2019-04-03,EMEA,France,DCS,NT,SH,1802,"8,21,639.46","29,68,271.61"
2019-04-14,EMEA,France,DCS,NT,ZOR,553,"3,81,383.23","8,72,476.65"
2019-04-02,EMEA,France,DCS,NT,ZRE,-1,-117.79,-259.51
2019-04-24,EMEA,NOE,DCS,NT,SH,1992,"12,98,214.06","46,90,673.37"
2019-04-16,EMEA,NOE,DCS,NT,ZCR,-23,"-38,471.74","-62,051.19"
2019-04-26,EMEA,NOE,DCS,NT,ZCRN,32,0,0
2019-04-03,EMEA,NOE,DCS,NT,ZDR,24,"17,633.23","62,182.09"
2019-04-10,EMEA,NOE,DCS,NT,ZOR,204,"1,70,200.47","5,03,046.05"
2019-04-01,EMEA,SOE,DCS,NT,SH,741,"2,98,245.50","12,27,888.25"
2019-04-02,EMEA,SOE,DCS,NT,ZCR,-10,"-1,234.89","-3,964.92"
2019-04-08,EMEA,SOE,DCS,NT,ZDR,8,"2,627.70","24,173.48"
2019-04-07,EMEA,SOE,DCS,NT,ZOR,163,"1,15,374.62","4,04,146.63"
2019-04-28,EMEA,SOE,DCS,NT,ZRE,-1,-462.14,"-3,554.92"
2019-04-22,EMEA,UK&I,DCS,NT,SH,788,"5,60,751.25","18,26,862.49"
2019-04-10,EMEA,UK&I,DCS,NT,ZDR,160,"72,044.73","3,14,792.20"
2019-04-15,EMEA,UK&I,DCS,NT,ZOR,1552,"6,58,587.90","36,95,660.54"
2019-04-26,EMEA,UK&I,DCS,NT,ZRE,-4,"-2,626.38","-7,879.13"
2019-04-06,EMEA,CEEMA,DCS,WB,SH,4,"8,406.96","33,825.60"
2019-04-04,EMEA,CEEMA,DCS,1U,SH,20,"38,481.94","90,352.47"
2019-04-16,EMEA,CEEMA,DCS,1U,ZCR,-1,-401.13,-401.13
2019-04-14,EMEA,CEEMA,DCS,1U,ZOR,1,"1,164.71","3,191.00"
2019-04-03,EMEA,Cross Geo (Philip),DCS,1U,SH,1,"1,139.47","2,848.67"
2019-04-03,EMEA,DACH&Russia,DCS,1U,SH,73,"1,06,054.11","2,48,646.94"
2019-04-16,EMEA,DACH&Russia,DCS,1U,ZOR,1,"1,405.07","3,191.01"
2019-04-10,EMEA,France,DCS,1U,SH,18,"18,716.60","49,956.96"
2019-04-11,EMEA,France,DCS,1U,ZOR,3,"3,683.58","17,198.50"
2019-04-27,EMEA,France,DCS,1U,ZRE,-3,"-4,856.42","-11,293.99"
2019-04-19,EMEA,NOE,DCS,1U,SH,23,"40,987.86","81,216.43"
2019-04-27,EMEA,NOE,DCS,1U,ZOR,1,"1,237.07","3,389.25"
2019-04-24,EMEA,SOE,DCS,1U,SH,26,"36,034.12","77,153.49"
2019-04-04,EMEA,UK&I,DCS,1U,SH,6,"10,155.56","21,010.04"
2019-04-23,EMEA,CEEMA,DCS,FA,SH,4,"20,774.74","77,009.26"
2019-04-26,EMEA,DACH&Russia,DCS,FA,SH,5,"28,770.98","1,01,801.20"
2019-04-19,EMEA,SOE,DCS,FA,SH,5,"15,741.43","1,03,268.40"
2019-04-13,EMEA,UK&I,DCS,FA,SH,4,"23,120.68","1,05,093.92"
2019-04-05,EMEA,CEEMA,DCS,I6,ZOR,1,"6,611.60","43,504.22"
2019-04-21,EMEA,DACH&Russia,DCS,I6,SH,17,"2,66,601.86","5,43,071.82"
2019-04-05,EMEA,DACH&Russia,DCS,I6,ZOR,1,"13,782.50","1,23,102.78"
2019-04-21,EMEA,France,DCS,I6,SH,1,"14,670.24","23,661.68"
2019-04-25,EMEA,France,DCS,I6,ZOR,0,0,0
2019-04-09,EMEA,SOE,DCS,I6,ZOR,4,"29,830.43","1,70,265.00"
2019-04-06,EMEA,UK&I,DCS,I6,SH,1,"4,419.03","16,391.05"
2019-04-09,EMEA,UK&I,DCS,I6,ZOR,0,0,0
2019-04-17,EMEA,CEEMA,DCS,L1,ZOR,28,"29,841.08","76,377.59"
2019-04-28,EMEA,DACH&Russia,DCS,L1,SH,304,"30,991.14","92,946.40"
2019-04-28,EMEA,DACH&Russia,DCS,L1,ZOR,0,0,0
2019-04-06,EMEA,DACH&Russia,DCS,L1,ZRE,-2,"-4,062.64","-15,837.00"
2019-04-12,EMEA,France,DCS,L1,SH,1,"17,948.55","28,949.28"
2019-04-08,EMEA,NOE,DCS,L1,ZOR,304,"1,53,683.53","3,06,942.77"
2019-04-25,EMEA,France,DCS,NC,ZOR,16,"67,745.39","2,49,732.52"
2019-04-18,EMEA,CEEMA,DCS,NT,SH,1491,"8,91,236.52","28,65,276.32"
2019-04-13,EMEA,CEEMA,DCS,NT,ZDR,4,232,777.7
2019-04-24,EMEA,CEEMA,DCS,NT,ZOR,377,"2,34,050.33","18,00,369.10"
2019-04-03,EMEA,CEEMA,DCS,NT,ZRE,-2,-80.37,-940.87
2019-04-04,EMEA,Cross Geo (Philip),DCS,NT,SH,640,"6,05,430.31","25,15,574.74"
2019-04-02,EMEA,Cross Geo (Philip),DCS,NT,ZCR,-31,"-11,412.56","-36,303.05"
2019-04-10,EMEA,Cross Geo (Philip),DCS,NT,ZDR,33,"11,268.68","36,454.28"
2019-04-09,EMEA,Cross Geo (Philip),DCS,NT,ZOR,675,"3,43,507.17","16,71,385.18"
2019-04-23,EMEA,Cross Geo (Philip),DCS,NT,ZRE,-9,"-1,297.37","-5,415.13"
2019-04-03,EMEA,DACH&Russia,DCS,NT,SH,3437,"19,86,728.28","80,53,045.18"
2019-04-24,EMEA,DACH&Russia,DCS,NT,ZCR,0,0,0
2019-04-11,EMEA,DACH&Russia,DCS,NT,ZDR,43,"62,937.20","1,18,983.50"
2019-04-14,EMEA,DACH&Russia,DCS,NT,ZOR,783,"8,11,421.63","68,95,920.13"
2019-04-02,EMEA,DACH&Russia,DCS,NT,ZRE,-28,"-49,967.15","-49,967.15"
2019-04-24,EMEA,France,DCS,NT,SH,1719,"11,43,597.73","40,02,507.59"
2019-04-04,EMEA,France,DCS,NT,ZCR,-14,"-5,454.22","-17,638.04"
2019-04-27,EMEA,France,DCS,NT,ZDR,14,"5,454.22","17,638.04"
2019-04-12,EMEA,France,DCS,NT,ZOR,818,"7,74,210.79","23,51,304.62"
2019-04-01,EMEA,France,DCS,NT,ZRE,-2,-455.96,"-1,593.15"
2019-04-22,EMEA,NOE,DCS,NT,SH,1704,"11,03,901.64","45,83,809.75"
2019-04-25,EMEA,NOE,DCS,NT,ZCR,-37,"-12,011.11","-66,755.34"
2019-04-02,EMEA,NOE,DCS,NT,ZDR,37,"12,011.11","66,755.34"
2019-04-26,EMEA,NOE,DCS,NT,ZOR,652,"2,90,600.36","14,09,905.54"
2019-04-01,EMEA,NOE,DCS,NT,ZRE,-1,-390,"-3,585.00"
2019-04-09,EMEA,SOE,DCS,NT,SH,1222,"8,30,647.40","31,21,583.98"
2019-04-04,EMEA,SOE,DCS,NT,ZDR,19,"35,490.00","1,21,750.35"
2019-04-04,EMEA,SOE,DCS,NT,ZOR,218,"1,04,398.47","3,99,420.09"
2019-04-22,EMEA,SOE,DCS,NT,ZRE,-2,-72.88,-416
2019-04-24,EMEA,UK&I,DCS,NT,SH,876,"5,33,513.50","18,67,152.35"
2019-04-25,EMEA,UK&I,DCS,NT,ZOR,73,"30,882.71","1,22,687.56"
2019-04-02,EMEA,UK&I,DCS,NT,ZRE,4,"2,626.38","7,879.13"
2019-04-08,EMEA,CEEMA,DCS,1U,SH,4,"7,928.68","18,142.00"
2019-04-14,EMEA,CEEMA,DCS,1U,ZOR,5,"2,011.28","3,358.12"
2019-04-24,EMEA,Cross Geo (Philip),DCS,1U,ZOR,1,746.79,"1,493.33"
2019-04-17,EMEA,DACH&Russia,DCS,1U,SH,23,"37,763.67","76,040.54"
2019-04-08,EMEA,DACH&Russia,DCS,1U,ZOR,2,"1,281.38","6,904.00"
2019-04-24,EMEA,France,DCS,1U,SH,9,"7,923.63","21,977.14"
2019-04-15,EMEA,NOE,DCS,1U,SH,17,"32,243.44","61,496.56"
2019-04-06,EMEA,NOE,DCS,1U,ZOR,4,"5,395.59","13,488.97"
2019-04-10,EMEA,SOE,DCS,1U,SH,9,"13,364.79","34,359.17"
2019-04-22,EMEA,UK&I,DCS,1U,SH,-2,"-59,637.86","-94,217.53"
2019-04-24,EMEA,Cross Geo (Philip),DCS,FA,ZOR,1,"2,315.63","7,950.66"
2019-04-10,EMEA,DACH&Russia,DCS,FA,SH,8,"1,19,268.68","2,26,631.64"
2019-04-13,EMEA,NOE,DCS,FA,SH,10,"50,861.98","2,05,708.88"
2019-04-06,EMEA,SOE,DCS,FA,SH,7,"24,544.06","86,313.88"
2019-04-14,EMEA,UK&I,DCS,FA,SH,27,"1,75,418.19","7,01,672.22"
2019-04-09,EMEA,DACH&Russia,DCS,I6,SH,33,"97,517.10","4,92,324.39"
2019-04-06,EMEA,DACH&Russia,DCS,I6,ZOR,5,"65,539.33","2,01,477.85"
2019-04-12,EMEA,France,DCS,I6,SH,2,"10,216.26","47,739.58"
2019-04-11,EMEA,France,DCS,I6,ZCR,-27,"-1,20,274.58","-5,25,066.53"
2019-04-02,EMEA,France,DCS,I6,ZDR,27,"1,20,274.58","5,25,066.53"
2019-04-13,EMEA,France,DCS,I6,ZOR,2,"52,797.32","1,33,534.69"
2019-04-03,EMEA,NOE,DCS,I6,SH,4,"29,122.64","93,944.00"
2019-04-08,EMEA,SOE,DCS,I6,SH,90,"1,58,494.50","12,19,189.20"
2019-04-23,EMEA,SOE,DCS,I6,ZOR,2,"36,773.47","1,40,312.83"
2019-04-27,EMEA,UK&I,DCS,I6,ZCR,-9,"-40,091.53","-1,75,022.18"
2019-04-15,EMEA,UK&I,DCS,I6,ZDR,9,"40,091.53","1,75,022.18"
2019-04-10,EMEA,UK&I,DCS,I6,ZOR,1,"17,599.11","44,511.56"
2019-04-26,EMEA,DACH&Russia,DCS,L1,SH,1621,"2,87,607.82","9,34,454.92"
2019-04-14,EMEA,DACH&Russia,DCS,L1,ZOR,0,0,0
2019-04-10,EMEA,France,DCS,L1,ZOR,22,"4,161.39","7,178.71"
2019-04-28,EMEA,NOE,DCS,L1,SH,84,"29,506.08","60,241.52"
2019-04-08,EMEA,NOE,DCS,L1,ZCR,-8,"-16,993.86","-17,018.72"
2019-04-03,EMEA,NOE,DCS,L1,ZDR,8,"17,273.26","17,273.26"
2019-04-15,EMEA,SOE,DCS,L1,SH,15,"18,937.05","43,370.64"
2019-04-11,EMEA,SOE,DCS,L1,ZOR,602,"1,01,093.05","3,31,418.23"
2019-04-15,EMEA,UK&I,DCS,L1,SH,6,"15,774.68","25,443.04"
2019-04-18,EMEA,NOE,DCS,NC,ZOR,3,"7,343.29","14,686.59"
2019-04-11,EMEA,CEEMA,DCS,NT,SH,1084,"5,81,275.17","24,42,112.71"
2019-04-05,EMEA,CEEMA,DCS,NT,ZCR,-16,"-31,763.84","-51,232.00"
2019-04-28,EMEA,CEEMA,DCS,NT,ZCRN,12,0,0
2019-04-02,EMEA,CEEMA,DCS,NT,ZDR,8,"15,881.92","25,616.00"
2019-04-13,EMEA,CEEMA,DCS,NT,ZOR,369,"2,17,232.68","8,48,724.99"
2019-04-16,EMEA,Cross Geo (Philip),DCS,NT,SH,145,"1,18,000.59","3,00,183.21"
2019-04-03,EMEA,Cross Geo (Philip),DCS,NT,ZCR,-3,-540.96,"-2,658.26"
2019-04-25,EMEA,Cross Geo (Philip),DCS,NT,ZDR,3,540.96,"2,658.26"
2019-04-14,EMEA,Cross Geo (Philip),DCS,NT,ZOR,288,"1,63,092.31","5,47,169.64"
2019-04-01,EMEA,Cross Geo (Philip),DCS,NT,ZRE,-8,"-10,013.61","-21,209.33"
2019-04-18,EMEA,DACH&Russia,DCS,NT,SH,3088,"23,49,298.82","69,84,944.78"
2019-04-08,EMEA,DACH&Russia,DCS,NT,ZOR,707,"4,68,789.52","17,49,526.81"
2019-04-08,EMEA,DACH&Russia,DCS,NT,ZRE,-5,-422.43,"-3,094.43"
2019-04-09,EMEA,France,DCS,NT,SH,1987,"11,05,169.35","40,84,367.25"
2019-04-02,EMEA,France,DCS,NT,ZCR,-161,"-1,28,949.85","1,42,776.68"
2019-04-11,EMEA,France,DCS,NT,ZDR,163,"1,29,497.62","-1,40,820.33"
2019-04-12,EMEA,France,DCS,NT,ZOR,246,"1,25,212.19","4,77,033.64"
2019-04-27,EMEA,France,DCS,NT,ZRE,-19,"-3,498.14","-13,519.32"
2019-04-24,EMEA,NOE,DCS,NT,SH,1867,"10,01,504.68","35,31,836.82"
2019-04-20,EMEA,NOE,DCS,NT,ZCR,-37,"-11,892.16","-66,094.23"
2019-04-19,EMEA,NOE,DCS,NT,ZCRN,32,0,0
2019-04-26,EMEA,NOE,DCS,NT,ZDR,37,"11,892.16","66,094.23"
2019-04-20,EMEA,NOE,DCS,NT,ZOR,254,"91,347.64","3,32,295.36"
2019-04-27,EMEA,SOE,DCS,NT,SH,3404,"12,10,826.34","74,65,535.92"
2019-04-13,EMEA,SOE,DCS,NT,ZOR,330,"1,87,557.70","8,63,554.37"
2019-04-20,EMEA,SOE,DCS,NT,ZRE,-2,-72.88,-416
2019-04-24,EMEA,UK&I,DCS,NT,SH,1511,"8,87,531.78","30,61,347.44"
2019-04-09,EMEA,UK&I,DCS,NT,ZCR,-53,"-42,807.82","48,200.00"
2019-04-21,EMEA,UK&I,DCS,NT,ZDR,53,"42,807.82","-48,200.00"
2019-04-04,EMEA,UK&I,DCS,NT,ZOR,157,"1,12,601.73","4,10,125.20"
2019-04-01,EMEA,CEEMA,DCS,1U,SH,20,"29,424.80","72,500.00"
2019-04-25,EMEA,CEEMA,DCS,1U,ZOR,1,"1,164.71","3,191.00"
2019-04-07,EMEA,DACH&Russia,DCS,1U,SH,26,"36,437.69","84,730.26"
2019-04-19,EMEA,France,DCS,1U,SH,0,"-1,007.43","-2,111.55"
2019-04-28,EMEA,NOE,DCS,1U,SH,1,"1,300.57","4,335.25"
2019-04-06,EMEA,NOE,DCS,1U,ZOR,14,"8,690.71","25,803.67"
2019-04-13,EMEA,SOE,DCS,1U,SH,7,"8,475.51","18,766.34"
2019-04-22,EMEA,UK&I,DCS,1U,SH,6,"10,235.39","20,650.88"
2019-04-12,EMEA,CEEMA,DCS,FA,SH,2,"7,361.52","24,538.44"
2019-04-16,EMEA,Cross Geo (Philip),DCS,FA,SH,3,"16,476.43","26,574.85"
2019-04-14,EMEA,Cross Geo (Philip),DCS,FA,ZOR,1,"4,631.26","15,901.33"
2019-04-21,EMEA,NOE,DCS,FA,SH,4,"23,206.04","77,059.92"
2019-04-07,EMEA,SOE,DCS,FA,ZOR,2,"13,848.02","39,565.78"
2019-04-20,EMEA,UK&I,DCS,FA,SH,4,"11,235.04","47,126.88"
2019-04-16,EMEA,CEEMA,DCS,I6,ZOR,6,"85,470.90","2,54,939.65"
2019-04-19,EMEA,DACH&Russia,DCS,I6,SH,3,"24,039.51","1,49,036.04"
2019-04-12,EMEA,DACH&Russia,DCS,I6,ZOR,0,0,0
2019-04-26,EMEA,France,DCS,I6,ZOR,29,"1,86,569.04","5,31,694.93"
2019-04-18,EMEA,UK&I,DCS,I6,ZOR,12,"92,036.60","2,76,721.37"
2019-04-27,EMEA,DACH&Russia,DCS,L1,SH,24,"46,331.16","1,51,014.34"
2019-04-22,EMEA,NOE,DCS,L1,SH,126,"35,983.90","70,830.60"
2019-04-18,EMEA,SOE,DCS,L1,SH,653,"79,513.80","3,49,650.72"
2019-04-26,EMEA,CEEMA,DCS,NC,ZRE,-88,"-1,32,553.43","-5,00,201.23"
2019-04-04,EMEA,CEEMA,DCS,NT,SH,641,"2,57,820.68","10,78,676.27"
2019-04-02,EMEA,CEEMA,DCS,NT,ZCRN,36,0,0
2019-04-01,EMEA,CEEMA,DCS,NT,ZOR,622,"2,11,408.98","6,92,797.03"
2019-04-02,EMEA,CEEMA,DCS,NT,ZRE,-472,"-1,18,576.96","-10,12,900.00"
2019-04-24,EMEA,Cross Geo (Philip),DCS,NT,SH,321,"2,15,968.19","5,13,292.68"
2019-04-27,EMEA,Cross Geo (Philip),DCS,NT,ZDR,9,"5,272.21","13,361.74"
2019-04-13,EMEA,Cross Geo (Philip),DCS,NT,ZOR,296,"1,52,254.43","4,79,905.29"
2019-04-16,EMEA,Cross Geo (Philip),DCS,NT,ZRE,-12,"-4,099.47","-15,647.80"
2019-04-14,EMEA,DACH&Russia,DCS,NT,SH,2515,"13,34,680.69","44,70,604.94"
2019-04-03,EMEA,DACH&Russia,DCS,NT,ZCR,-370,"-4,54,789.15","-12,99,397.58"
2019-04-21,EMEA,DACH&Russia,DCS,NT,ZDR,370,"4,54,789.14","12,99,397.56"
2019-04-26,EMEA,DACH&Russia,DCS,NT,ZOR,1135,"6,28,156.51","19,82,689.70"
2019-04-14,EMEA,DACH&Russia,DCS,NT,ZRE,-84,"-6,851.41","-49,959.14"
2019-04-07,EMEA,France,DCS,NT,SH,1381,"5,13,825.22","18,29,343.12"
2019-04-20,EMEA,France,DCS,NT,ZOR,368,"3,95,626.47","11,47,441.24"
2019-04-11,EMEA,France,DCS,NT,ZRE,-38,"-49,792.09","-1,24,442.63"
2019-04-05,EMEA,NOE,DCS,NT,SH,856,"4,59,187.81","15,38,622.59"
2019-04-07,EMEA,NOE,DCS,NT,ZCR,-2,-623.32,-623.32
2019-04-20,EMEA,NOE,DCS,NT,ZDR,5,"2,636.10","6,680.87"
2019-04-13,EMEA,NOE,DCS,NT,ZOR,157,"28,801.03","1,02,971.08"
2019-04-16,EMEA,NOE,DCS,NT,ZRE,-16,"-18,688.69","-53,071.09"
2019-04-16,EMEA,SOE,DCS,NT,SH,1069,"4,45,315.02","21,57,575.94"
2019-04-20,EMEA,SOE,DCS,NT,ZDR,12,"6,980.32","24,839.50"
2019-04-19,EMEA,SOE,DCS,NT,ZOR,76,"39,682.22","1,30,854.19"
2019-04-22,EMEA,SOE,DCS,NT,ZRE,2,72.88,416
2019-04-06,EMEA,UK&I,DCS,NT,SH,805,"5,02,347.48","15,66,623.77"
2019-04-02,EMEA,UK&I,DCS,NT,ZOR,104,"70,804.65","1,86,040.18"
2019-04-08,EMEA,UK&I,DCS,NT,ZRE,-2,"-1,724.76","-4,311.89"
2019-04-21,EMEA,CEEMA,DCS,1U,SH,10,"15,161.58","35,492.83"
2019-04-12,EMEA,Cross Geo (Philip),DCS,1U,SH,2,"3,911.74","8,042.14"
2019-04-26,EMEA,DACH&Russia,DCS,1U,SH,20,"29,259.04","70,191.92"
2019-04-06,EMEA,France,DCS,1U,SH,4,"7,630.73","15,348.52"
2019-04-02,EMEA,France,DCS,1U,ZOR,2,"4,805.37","11,441.35"
2019-04-01,EMEA,NOE,DCS,1U,SH,16,"24,311.98","51,673.60"
2019-04-09,EMEA,NOE,DCS,1U,ZOR,1,"1,559.64","4,273.00"
2019-04-02,EMEA,SOE,DCS,1U,SH,10,"16,104.98","33,997.70"
2019-04-16,EMEA,UK&I,DCS,1U,SH,15,"24,362.07","53,884.81"
2019-04-16,EMEA,CEEMA,DCS,FA,SH,1,"5,746.16","9,268.00"
2019-04-21,EMEA,CEEMA,DCS,FA,ZOR,2,"14,871.71","70,817.65"
2019-04-10,EMEA,DACH&Russia,DCS,FA,SH,6,"25,479.90","1,15,817.76"
2019-04-18,EMEA,UK&I,DCS,FA,SH,9,"56,519.82","91,161.09"
2019-04-09,EMEA,DACH&Russia,DCS,I6,ZOR,40,"1,57,183.03","12,72,587.56"
2019-04-23,EMEA,France,DCS,I6,ZOR,2,"15,934.97","1,21,085.37"
2019-04-09,EMEA,SOE,DCS,I6,ZOR,1,"8,547.50","42,737.51"
2019-04-03,EMEA,UK&I,DCS,I6,SH,45,"1,43,266.14","7,11,631.86"
2019-04-13,EMEA,UK&I,DCS,I6,ZOR,13,"1,92,675.89","10,92,938.57"
2019-04-20,EMEA,DACH&Russia,DCS,L1,SH,22,"10,066.88","16,268.79"
2019-04-01,EMEA,NOE,DCS,L1,SH,10,"28,901.80","56,664.28"
2019-04-23,EMEA,NOE,DCS,L1,ZOR,120,"9,351.92","13,240.42"
2019-04-21,EMEA,CEEMA,DCS,NT,SH,1274,"3,70,997.55","16,41,824.87"
2019-04-09,EMEA,CEEMA,DCS,NT,ZOR,279,"1,12,271.00","4,44,277.29"
2019-04-09,EMEA,CEEMA,DCS,NT,ZRE,159,"29,449.29","4,18,822.60"
2019-04-20,EMEA,Cross Geo (Philip),DCS,NT,SH,182,"1,06,794.79","2,33,589.44"
2019-04-08,EMEA,Cross Geo (Philip),DCS,NT,ZCR,-269,"-1,08,014.29","-6,74,177.00"
2019-04-05,EMEA,Cross Geo (Philip),DCS,NT,ZDR,269,"1,07,961.65","6,73,537.11"
2019-04-08,EMEA,Cross Geo (Philip),DCS,NT,ZOR,483,"1,43,797.63","9,07,139.95"
2019-04-11,EMEA,Cross Geo (Philip),DCS,NT,ZRE,-15,"-9,673.58","-72,578.06"
2019-04-04,EMEA,DACH&Russia,DCS,NT,SH,2705,"17,02,426.06","52,62,978.41"
2019-04-04,EMEA,DACH&Russia,DCS,NT,ZDR,4,"1,949.97","11,846.69"
2019-04-10,EMEA,DACH&Russia,DCS,NT,ZOR,1980,"11,23,583.05","38,01,852.50"
2019-04-07,EMEA,DACH&Russia,DCS,NT,ZRE,-87,"-1,66,850.74","-4,63,210.58"
2019-04-13,EMEA,France,DCS,NT,SH,1286,"5,40,942.82","20,53,661.54"
2019-04-14,EMEA,France,DCS,NT,ZCR,-14,"-4,065.69","-12,743.80"
2019-04-03,EMEA,France,DCS,NT,ZDR,1,94,94
2019-04-07,EMEA,France,DCS,NT,ZOR,319,"1,86,216.24","6,42,477.05"
2019-04-14,EMEA,France,DCS,NT,ZRE,22,"19,188.99","45,997.04"
2019-04-19,EMEA,NOE,DCS,NT,SH,1132,"6,73,982.61","22,89,974.60"
2019-04-27,EMEA,NOE,DCS,NT,ZCR,-266,"-1,07,773.64","-6,73,349.10"
2019-04-13,EMEA,NOE,DCS,NT,ZDR,266,"1,07,773.64","6,73,349.10"
2019-04-11,EMEA,NOE,DCS,NT,ZOR,493,"2,13,962.71","10,74,606.91"
2019-04-22,EMEA,NOE,DCS,NT,ZRE,-18,"-20,766.32","-85,496.05"
2019-04-26,EMEA,SOE,DCS,NT,SH,1739,"7,55,715.47","40,85,654.89"
2019-04-07,EMEA,SOE,DCS,NT,ZOR,134,"81,944.49","2,71,790.73"
2019-04-17,EMEA,UK&I,DCS,NT,SH,1421,"7,99,945.53","26,83,053.72"
2019-04-25,EMEA,UK&I,DCS,NT,ZCR,-2,"-1,203.62","-3,540.07"
2019-04-23,EMEA,UK&I,DCS,NT,ZOR,1419,"4,59,510.21","20,88,938.06"
2019-04-15,EMEA,UK&I,DCS,NT,ZRE,-25,"-24,809.82","-70,224.09"
2019-04-07,EMEA,DACH&Russia,DCS,WB,SH,2,"6,420.88","22,931.72"
2019-04-22,EMEA,CEEMA,OTH,I7,SH,280,"96,780.33","2,97,565.97"
2019-04-09,EMEA,CEEMA,OTH,I7,ZOR,222,"74,931.36","2,55,506.39"
2019-04-24,EMEA,Cross Geo (Philip),OTH,I7,ZOR,1,405.52,"1,158.62"
2019-04-22,EMEA,DACH&Russia,OTH,I7,SH,848,"1,57,679.69","6,89,119.72"
2019-04-10,EMEA,DACH&Russia,OTH,I7,ZCR,-68,"-8,700.30","-38,998.70"
